,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Tag,Artist,Name,Popularity
466,0.428,0.604,1,-11.292,1,0.0386,0.724,0.884,0.139,0.39,105.013,audio_features,6BRr6a4zwmI7H3c7IBSsK5,spotify:track:6BRr6a4zwmI7H3c7IBSsK5,https://api.spotify.com/v1/tracks/6BRr6a4zwmI7H3c7IBSsK5,https://api.spotify.com/v1/audio-analysis/6BRr6a4zwmI7H3c7IBSsK5,287773,4,Travel,Maya Jane Coles,Bo & Wing,50
467,0.554,0.529,4,-11.456,0,0.036,0.205,0.845,0.0927,0.394,82.996,audio_features,01Tjw4oDG8jZgb1sZ59Uar,spotify:track:01Tjw4oDG8jZgb1sZ59Uar,https://api.spotify.com/v1/tracks/01Tjw4oDG8jZgb1sZ59Uar,https://api.spotify.com/v1/audio-analysis/01Tjw4oDG8jZgb1sZ59Uar,265628,4,Travel,Emancipator,Iron Ox,26
468,0.588,0.83,1,-7.007,1,0.0321,0.265,0.0583,0.156,0.122,92.026,audio_features,5EZiYuLDocUHRkVH2XWzPY,spotify:track:5EZiYuLDocUHRkVH2XWzPY,https://api.spotify.com/v1/tracks/5EZiYuLDocUHRkVH2XWzPY,https://api.spotify.com/v1/audio-analysis/5EZiYuLDocUHRkVH2XWzPY,217667,4,Travel,Caribou,New Jade,37
469,0.761,0.797,9,-10.237,0,0.067,2.83e-05,0.822,0.0549,0.483,120.03,audio_features,6K4cMGg1ksKaKDgPUDThM6,spotify:track:6K4cMGg1ksKaKDgPUDThM6,https://api.spotify.com/v1/tracks/6K4cMGg1ksKaKDgPUDThM6,https://api.spotify.com/v1/audio-analysis/6K4cMGg1ksKaKDgPUDThM6,204627,4,Travel,Mosebe,Tryin',21
470,0.604,0.728,7,-7.209,1,0.175,0.388,0.0,0.115,0.498,104.929,audio_features,2MQ82DjQyqbxVhced33rwk,spotify:track:2MQ82DjQyqbxVhced33rwk,https://api.spotify.com/v1/tracks/2MQ82DjQyqbxVhced33rwk,https://api.spotify.com/v1/audio-analysis/2MQ82DjQyqbxVhced33rwk,215143,4,Travel,Clem Beatz,Hymne,38
471,0.654,0.452,5,-7.124,0,0.0306,0.0997,0.782,0.359,0.113,89.985,audio_features,2QtUyecgsxiNkFwERpLxXU,spotify:track:2QtUyecgsxiNkFwERpLxXU,https://api.spotify.com/v1/tracks/2QtUyecgsxiNkFwERpLxXU,https://api.spotify.com/v1/audio-analysis/2QtUyecgsxiNkFwERpLxXU,198656,4,Travel,James Waves,Mirrors,12
472,0.622,0.611,10,-4.888,0,0.0342,0.00387,0.829,0.312,0.363,158.0,audio_features,2kT8jBc9Rdb58rp1vKNy25,spotify:track:2kT8jBc9Rdb58rp1vKNy25,https://api.spotify.com/v1/tracks/2kT8jBc9Rdb58rp1vKNy25,https://api.spotify.com/v1/audio-analysis/2kT8jBc9Rdb58rp1vKNy25,203544,4,Travel,Else,You,38
473,0.771,0.543,5,-10.261,0,0.0331,0.0126,0.843,0.0895,0.391,122.019,audio_features,1dHNGGlfiGfN45W5KrZ9FO,spotify:track:1dHNGGlfiGfN45W5KrZ9FO,https://api.spotify.com/v1/tracks/1dHNGGlfiGfN45W5KrZ9FO,https://api.spotify.com/v1/audio-analysis/1dHNGGlfiGfN45W5KrZ9FO,453497,4,Travel,Be Svendsen,Drifter,3
474,0.744,0.344,8,-16.393,0,0.0508,0.374,0.59,0.0637,0.458,95.503,audio_features,0hhUzxoJUqzOHjOG5y6HXX,spotify:track:0hhUzxoJUqzOHjOG5y6HXX,https://api.spotify.com/v1/tracks/0hhUzxoJUqzOHjOG5y6HXX,https://api.spotify.com/v1/audio-analysis/0hhUzxoJUqzOHjOG5y6HXX,234607,4,Travel,Richard Houghten,Amigos,39
475,0.508,0.756,6,-7.021,0,0.0291,0.00692,0.877,0.2,0.436,95.019,audio_features,6vdRIt1X7JSv3cUOyTvKHc,spotify:track:6vdRIt1X7JSv3cUOyTvKHc,https://api.spotify.com/v1/tracks/6vdRIt1X7JSv3cUOyTvKHc,https://api.spotify.com/v1/audio-analysis/6vdRIt1X7JSv3cUOyTvKHc,217421,4,Travel,il:lo,Ara,24
476,0.658,0.822,11,-7.97,0,0.142,0.0032,0.0221,0.211,0.436,106.988,audio_features,4EkuulvVf7U6uoRU8c3BUD,spotify:track:4EkuulvVf7U6uoRU8c3BUD,https://api.spotify.com/v1/tracks/4EkuulvVf7U6uoRU8c3BUD,https://api.spotify.com/v1/audio-analysis/4EkuulvVf7U6uoRU8c3BUD,186920,4,Travel,Les Gordon,La Noche Azul,22
477,0.693,0.67,11,-8.863,0,0.0425,0.388,0.772,0.152,0.725,145.01,audio_features,58FsmlVRQxpjFmXF8vSKMT,spotify:track:58FsmlVRQxpjFmXF8vSKMT,https://api.spotify.com/v1/tracks/58FsmlVRQxpjFmXF8vSKMT,https://api.spotify.com/v1/audio-analysis/58FsmlVRQxpjFmXF8vSKMT,247623,4,Travel,Maribou State,Vale,52
478,0.484,0.624,0,-8.75,1,0.178,0.129,0.0317,0.0927,0.124,148.589,audio_features,6Mcss1vH0wecVqPznrlQH6,spotify:track:6Mcss1vH0wecVqPznrlQH6,https://api.spotify.com/v1/tracks/6Mcss1vH0wecVqPznrlQH6,https://api.spotify.com/v1/audio-analysis/6Mcss1vH0wecVqPznrlQH6,195093,4,Travel,Petit Biscuit,Wide Awake,33
479,0.606,0.585,4,-9.402,1,0.0466,0.54,0.968,0.0886,0.0572,99.987,audio_features,6YGEmlsY5s3q5LJWBRSbKn,spotify:track:6YGEmlsY5s3q5LJWBRSbKn,https://api.spotify.com/v1/tracks/6YGEmlsY5s3q5LJWBRSbKn,https://api.spotify.com/v1/audio-analysis/6YGEmlsY5s3q5LJWBRSbKn,222347,4,Travel,Rohne,Meru,41
480,0.748,0.816,5,-6.071,1,0.0373,0.141,0.784,0.35,0.252,96.998,audio_features,6i2QJEGameaPraR3elBda1,spotify:track:6i2QJEGameaPraR3elBda1,https://api.spotify.com/v1/tracks/6i2QJEGameaPraR3elBda1,https://api.spotify.com/v1/audio-analysis/6i2QJEGameaPraR3elBda1,223645,4,Travel,Diskay,Last Lights,24
481,0.582,0.518,11,-10.201,0,0.0276,0.864,0.869,0.0598,0.178,140.446,audio_features,72V4LycrtlYEwOEgKmhHI0,spotify:track:72V4LycrtlYEwOEgKmhHI0,https://api.spotify.com/v1/tracks/72V4LycrtlYEwOEgKmhHI0,https://api.spotify.com/v1/audio-analysis/72V4LycrtlYEwOEgKmhHI0,266014,4,Travel,Andrew Rothschild,Indigo,10
482,0.535,0.46,2,-12.116,0,0.0308,0.145,0.951,0.254,0.287,109.966,audio_features,5ZdlwxpQiNdfW60Yxx3mzw,spotify:track:5ZdlwxpQiNdfW60Yxx3mzw,https://api.spotify.com/v1/tracks/5ZdlwxpQiNdfW60Yxx3mzw,https://api.spotify.com/v1/audio-analysis/5ZdlwxpQiNdfW60Yxx3mzw,299024,4,Travel,Andrew Rothschild,Crown,8
